,score,nome,desc
0,0.588,KNeighborsClassifier,normal
1,0.58,DecisionTreeClassifier,normal
2,0.578,GaussianNB,normal
3,0.488,SVC,normal
4,0.602,MLPClassifier,normal
5,0.606,VotingClassifier,normal
6,0.512,KNeighborsClassifier,normal
7,0.554,DecisionTreeClassifier,normal
8,0.566,GaussianNB,normal
9,0.488,SVC,normal
10,0.524,MLPClassifier,normal
11,0.566,VotingClassifier,normal
12,0.506,KNeighborsClassifier,normal
13,0.492,DecisionTreeClassifier,normal
14,0.586,GaussianNB,normal
15,0.488,SVC,normal
16,0.52,MLPClassifier,normal
17,0.568,VotingClassifier,normal
18,0.582,KNeighborsClassifier,normal
19,0.606,DecisionTreeClassifier,normal
20,0.576,GaussianNB,normal
21,0.488,SVC,normal
22,0.602,MLPClassifier,normal
23,0.604,VotingClassifier,normal
24,0.552,KNeighborsClassifier,normal
25,0.528,DecisionTreeClassifier,normal
26,0.558,GaussianNB,normal
27,0.488,SVC,normal
28,0.524,MLPClassifier,normal
29,0.576,VotingClassifier,normal
30,0.566,KNeighborsClassifier,normal
31,0.52,DecisionTreeClassifier,normal
32,0.63,GaussianNB,normal
33,0.488,SVC,normal
34,0.532,MLPClassifier,normal
35,0.568,VotingClassifier,normal
36,0.512,KNeighborsClassifier,normal
37,0.564,DecisionTreeClassifier,normal
38,0.604,GaussianNB,normal
39,0.488,SVC,normal
40,0.548,MLPClassifier,normal
41,0.598,VotingClassifier,normal
