,score,nome,desc
0,0.612,KNeighborsClassifier,normal
1,0.591,DecisionTreeClassifier,normal
2,0.558,GaussianNB,normal
3,0.491,SVC,normal
4,0.569,MLPClassifier,normal
5,0.604,VotingClassifier,normal
6,0.505,KNeighborsClassifier,normal
7,0.55,DecisionTreeClassifier,normal
8,0.581,GaussianNB,normal
9,0.491,SVC,normal
10,0.478,MLPClassifier,normal
11,0.551,VotingClassifier,normal
12,0.492,KNeighborsClassifier,normal
13,0.572,DecisionTreeClassifier,normal
14,0.581,GaussianNB,normal
15,0.491,SVC,normal
16,0.504,MLPClassifier,normal
17,0.529,VotingClassifier,normal
18,0.568,KNeighborsClassifier,normal
19,0.61,DecisionTreeClassifier,normal
20,0.566,GaussianNB,normal
21,0.491,SVC,normal
22,0.602,MLPClassifier,normal
23,0.609,VotingClassifier,normal
24,0.565,KNeighborsClassifier,normal
25,0.555,DecisionTreeClassifier,normal
26,0.593,GaussianNB,normal
27,0.491,SVC,normal
28,0.535,MLPClassifier,normal
29,0.574,VotingClassifier,normal
30,0.582,KNeighborsClassifier,normal
31,0.59,DecisionTreeClassifier,normal
32,0.626,GaussianNB,normal
33,0.617,SVC,normal
34,0.586,MLPClassifier,normal
35,0.627,VotingClassifier,normal
36,0.525,KNeighborsClassifier,normal
37,0.648,DecisionTreeClassifier,normal
38,0.623,GaussianNB,normal
39,0.491,SVC,normal
40,0.528,MLPClassifier,normal
41,0.635,VotingClassifier,normal
